ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model
20.0,0.01,0.011220184543019636,0.0,0.0,0.2,,moyal
20.0,0.011220184543019636,0.012589254117941675,0.0,0.0,0.2,,moyal
20.0,0.012589254117941675,0.014125375446227547,0.0,0.0,0.2,,moyal
20.0,0.014125375446227547,0.01584893192461114,0.0,0.0,0.2,,moyal
20.0,0.01584893192461114,0.017782794100389236,0.0,0.0,0.2,,moyal
20.0,0.017782794100389236,0.01995262314968881,0.0,0.0,0.2,,moyal
20.0,0.01995262314968881,0.022387211385683413,0.0,0.0,0.2,,moyal
20.0,0.022387211385683413,0.025118864315095822,0.0,0.0,0.2,,moyal
20.0,0.025118864315095822,0.028183829312644564,0.0,0.0,0.2,,moyal
20.0,0.028183829312644564,0.031622776601683826,0.0,0.0,0.2,,moyal
20.0,0.031622776601683826,0.035481338923357586,0.0,0.0,0.2,,moyal
20.0,0.035481338923357586,0.039810717055349776,0.0,0.0,0.2,,moyal
20.0,0.039810717055349776,0.04466835921509637,0.0,0.0,0.2,,moyal
20.0,0.04466835921509637,0.050118723362727303,0.0,0.0,0.2,,moyal
20.0,0.050118723362727303,0.056234132519034995,0.0,0.0,0.2,,moyal
20.0,0.056234132519034995,0.06309573444801943,0.0,0.0,0.2,,moyal
20.0,0.06309573444801943,0.07079457843841391,0.0,0.0,0.2,,moyal
20.0,0.07079457843841391,0.07943282347242829,0.0,0.0,0.2,,moyal
20.0,0.07943282347242829,0.08912509381337473,0.0,0.0,0.2,,moyal
20.0,0.08912509381337473,0.1000000000000002,0.0,0.0,0.2,,moyal
20.0,0.1000000000000002,0.11220184543019658,0.0,0.0,0.2,,moyal
20.0,0.11220184543019658,0.125892541179417,0.0,0.0,0.2,,moyal
20.0,0.125892541179417,0.14125375446227575,0.0,0.0,0.2,,moyal
20.0,0.14125375446227575,0.15848931924611173,0.0,0.0,0.2,,moyal
20.0,0.15848931924611173,0.17782794100389274,0.0,0.0,0.2,,moyal
20.0,0.17782794100389274,0.1995262314968885,0.0,0.0,0.2,,moyal
20.0,0.1995262314968885,0.2238721138568346,0.0,0.0,0.2,,moyal
20.0,0.2238721138568346,0.25118864315095873,0.0,0.0,0.2,,moyal
20.0,0.25118864315095873,0.2818382931264462,14.600182274828168,0.0,0.2,,moyal
20.0,0.2818382931264462,0.3162277660168389,0.0,0.0,0.2,,moyal
20.0,0.3162277660168389,0.3548133892335766,36.76108096521587,0.0,0.2,,moyal
20.0,0.3548133892335766,0.39810717055349853,61.86991686459136,0.0,0.2,,moyal
20.0,0.39810717055349853,0.44668359215096465,138.83837697639922,0.0,0.2,,moyal
20.0,0.44668359215096465,0.501187233627274,415.41125635427494,0.0,0.2,,moyal
20.0,0.501187233627274,0.5623413251903511,1077.854158931727,0.5642278663284579,0.16492344342390128,,moyal
20.0,0.5623413251903511,0.6309573444801956,2810.973354962338,0.272749183824992,0.6964284634159069,6.929974782750411,skewnorm
20.0,0.6309573444801956,0.7079457843841406,7114.755952219272,0.27824517055132897,0.5582022836879625,4.165507881434138,skewnorm
20.0,0.7079457843841406,0.7943282347242846,17076.7953744411,0.22708249584849424,0.47906567620966245,3.2532515775919646,skewnorm
20.0,0.7943282347242846,0.8912509381337491,38505.638421890915,0.18885118439057685,0.40179272428717144,3.3978642892440245,skewnorm
20.0,0.8912509381337491,1.000000000000004,76979.8547235061,0.12632487064927533,0.3609416216188467,3.1686351231586887,skewnorm
20.0,1.000000000000004,1.1220184543019676,140719.10594348187,0.08127640468783119,0.30564127639490307,2.898075564563199,skewnorm
20.0,1.1220184543019676,1.2589254117941726,228127.73202297476,0.023351364558937618,0.27844333934977383,2.971258346263734,skewnorm
20.0,1.2589254117941726,1.4125375446227613,325332.7139338986,-0.015421800714931468,0.2587034179949661,2.515538720158025,skewnorm
20.0,1.4125375446227613,1.5848931924611207,436376.6928449875,-0.03852506486698711,0.23724129663376595,2.2461107802614775,skewnorm
20.0,1.5848931924611207,1.77827941003893,560924.2963141217,-0.056100593232259854,0.21981690960955805,2.0177208852583814,skewnorm
20.0,1.77827941003893,1.995262314968889,690143.9003878849,-0.08608596510927961,0.21944204287736918,2.3872476923448382,skewnorm
